state	OR	ORplusSister
75050000	1989.670292	1836.931204
75100000	1990.005950	1839.499235
75150000	1988.029529	1814.552246
75200000	1978.719294	1767.307499
75250000	1985.715368	1812.716457
75300000	1985.942120	1823.255857
75350000	1988.905996	1821.644963
75400000	1987.052696	1817.536279
75450000	1989.789706	1836.840205
75500000	1988.834945	1864.353488
75550000	1985.893820	1781.934397
75600000	1987.827435	1780.495119
75650000	1989.700920	1826.866280
75700000	1986.726346	1794.952193
75750000	1981.580559	1841.113635
75800000	1988.916545	1853.038282
75850000	1989.166391	1836.867758
75900000	1982.886654	1830.021882
75950000	1989.917365	1875.001543
76000000	1993.082020	1875.104627
76050000	1991.128007	1880.264073
76100000	1990.790581	1854.005446
76150000	1989.546792	1859.963886
76200000	1989.347461	1824.097356
76250000	1991.346613	1841.361390
76300000	1994.054455	1870.514003
76350000	1995.637851	1888.671468
76400000	1999.373390	1896.955981
76450000	1996.436639	1885.098649
76500000	1991.397972	1872.332580
76550000	1991.685512	1867.668257
76600000	1994.243855	1884.723501
76650000	1992.097690	1874.252285
76700000	1993.213333	1885.650479
76750000	1994.102905	1898.986573
76800000	1993.046366	1889.807263
76850000	1991.023375	1894.471619
76900000	1992.087444	1888.187775
76950000	1992.170068	1880.128920
77000000	1994.045566	1871.963195
77050000	1990.146887	1872.542073
77100000	1995.198908	1886.119892
77150000	1988.313603	1873.206376
77200000	1984.558986	1879.620116
77250000	1989.171960	1892.292628
77300000	1986.963301	1879.008411
77350000	1991.146005	1882.809878
77400000	1985.828939	1862.036262
77450000	1986.783671	1875.184700
77500000	1990.885869	1882.015526
77550000	1991.079460	1852.643571
77600000	1988.877999	1849.661247
77650000	1989.855945	1870.549596
77700000	1989.840535	1891.436010
77750000	1990.311620	1889.062932
77800000	1989.230601	1883.725460
77850000	1993.178142	1873.495193
77900000	1991.725382	1871.869480
77950000	1990.135086	1877.057422
78000000	1991.201026	1875.177656
78050000	1992.869396	1863.144403
78100000	1983.846833	1849.274851
78150000	1987.645226	1860.672906
78200000	1987.736352	1851.353099
78250000	1987.449816	1856.804093
78300000	1979.994574	1876.855309
78350000	1987.881828	1878.589942
78400000	1985.973885	1857.613804
78450000	1981.805066	1859.041172
78500000	1993.441514	1873.756755
78550000	1993.524763	1865.893169
78600000	1991.438895	1866.240299
78650000	1992.184309	1877.427820
78700000	1988.315617	1857.604551
78750000	1990.504772	1869.930450
78800000	1989.959807	1869.509719
78850000	1992.105904	1855.837560
78900000	1991.043346	1853.252572
78950000	1990.353359	1882.387171
79000000	1991.452338	1881.116383
79050000	1990.683702	1887.110902
79100000	1993.800394	1855.760589
79150000	1988.217957	1852.480230
79200000	1983.004925	1876.741075
79250000	1981.973315	1875.646575
79300000	1978.974299	1852.706630
79350000	1976.607335	1850.006719
79400000	1975.003486	1818.680572
79450000	1969.808072	1807.806744
79500000	1971.784163	1797.323276
79550000	1974.055775	1810.319267
79600000	1982.195627	1795.210909
79650000	1991.725290	1826.890875
79700000	1982.925023	1800.193754
79750000	1985.991061	1814.881816
79800000	1989.613959	1799.376141
79850000	1993.599662	1819.638786
79900000	1993.482184	1836.925238
79950000	1994.003300	1852.347744
80000000	1991.101908	1830.902533
80050000	1988.949173	1808.010439
80100000	1986.812783	1785.632031
80150000	1987.829011	1799.250292
80200000	1986.671809	1775.468063
