state	LIBR16393-IndivA_XXXX_XXX_2015-11-19
35240000	2.87
35250000	2.64
35260000	13.91
35270000	7.20
35280000	3.64
35290000	1.75
35300000	1.84
35310000	1.93
35320000	2.88
35330000	4.01
35340000	7.55
35350000	5.93
35360000	4.15
35370000	3.69
35380000	5.08
35390000	5.65
35400000	5.25
35410000	5.39
35420000	2.82
35430000	3.75
35440000	4.83
35450000	17.40
35460000	14.05
35470000	2.05
35480000	3.39
35490000	2.44
35500000	17.74
35510000	18.35
35520000	5.15
35530000	5.00
35540000	13.36
35550000	5.49
35560000	4.37
35570000	6.75
35580000	4.38
35590000	7.60
35600000	5.50
35610000	15.51
35620000	2.11
35630000	3.53
35640000	2.80
35650000	4.26
35660000	1.89
35670000	5.35
35680000	3.66
35690000	2.22
35700000	4.71
35710000	2.19
35720000	1.52
35730000	2.84
35740000	2.37
35750000	1.76
35760000	3.09
35770000	10.65
35780000	6.17
35790000	2.96
35800000	1.62
35810000	7.16
35820000	10.19
35830000	8.81
35840000	1.89
35850000	6.88
35860000	6.54
35870000	10.31
35880000	5.19
35890000	8.54
35900000	4.28
35910000	2.15
35920000	8.54
35930000	10.56
35940000	1.87
35950000	3.40
35960000	5.28
35970000	4.31
35980000	3.10
35990000	10.49
36000000	6.57
36010000	9.78
36020000	4.40
36030000	4.27
36040000	5.47
36050000	3.51
36060000	2.51
36070000	3.48
36080000	1.96
36090000	6.88
36100000	7.28
36110000	3.61
36120000	5.48
36130000	2.87
36140000	4.67
36150000	5.65
36160000	5.05
36170000	8.98
36180000	1.68
36190000	7.38
36200000	14.22
36210000	8.78
36220000	3.27
36230000	5.10
36240000	2.41
36250000	4.03
36260000	10.16
36270000	2.22
36280000	3.16
36290000	6.26
36300000	3.38
36310000	2.69
36320000	1.60
36330000	6.73
36340000	2.81
36350000	14.80
36360000	3.48
36370000	2.22
36380000	12.11
36390000	4.65
36400000	7.68
36410000	3.72
36420000	9.06
36430000	2.63
36440000	11.05
36450000	8.45
36460000	7.49
36470000	3.78
36480000	17.05
36490000	9.62
36500000	3.16
36510000	4.88
36520000	12.46
36530000	6.40
36540000	11.63
36550000	16.23
36560000	3.51
36570000	6.37
36580000	3.87
36590000	10.80
36600000	4.87
36610000	3.93
36620000	4.13
36630000	1.00
36640000	2.12
36650000	5.86
36660000	3.22
36670000	3.81
36680000	4.64
36690000	7.57
36700000	8.51
36710000	4.92
36720000	5.38
36730000	2.37
36740000	2.17
36750000	21.54
36760000	2.57
36770000	6.47
36780000	2.67
36790000	4.27
36800000	7.73
36810000	3.57
36820000	3.99
36830000	3.15
36840000	6.85
36850000	5.36
36860000	14.58
36870000	2.99
36880000	6.48
36890000	2.62
36900000	2.90
36910000	8.66
36920000	1.47
36930000	33.43
36940000	19.18
36950000	8.48
36960000	7.19
36970000	3.52
36980000	6.49
36990000	5.51
37000000	1.46
37010000	2.55
37020000	7.73
37030000	6.57
37040000	15.67
37050000	4.47
37060000	10.01
37070000	16.87
37080000	3.42
37090000	2.35
37100000	13.60
37110000	1.65
37120000	7.82
37130000	8.96
37140000	2.69
37150000	9.45
37160000	6.83
37170000	6.18
37180000	15.48
37190000	14.55
37200000	11.54
37210000	5.79
37220000	8.60
37230000	1.60
37240000	3.98
37250000	7.96
37260000	12.64
